bnf_code,name,items,net_cost
21210000017,BioXtra Dry Mth Gel Mth Spy 50ml (App),714,3745.18
21130000104,Optiflo S Cath Maint Soln 50ml,4371,120391.2
21020001525,Coloplast SpeediCath Flex Pocket Size Male10-14(30-Pack)Cath,980,168923.15
20100000700,Mepitac 2cm x 3m Surg Adh Tape Soft Slc Fixation,254,7954.98
21020001450,SafetyCat Active Nelaton Male ErgothanTip 10-16(30-Pack)Cath,63,10443.4
20090000217,Tubigrip 8.75cm x 0.5m Stkntte Elasctd Tublr Band,104,242.4
1003020P0BFAAAE,Ibuspray_P/Spy 5% 100ml,153,1174.2
21230000110,Sylk Vag Moist 40g Tube,6333,40722.72
21020001190,Coloplast SpeediCath Compact Fle Size 8-14 (30-Pack) Cath,3473,787740.68
21220000241,Epimax Crm 100g,5698,9833.96
21020001187,Coloplast SpeediCath 30cm Size 8-12 (30-Pack) Cath,101,20200.4
21210000013,Oralieve Moisturising Mth Gel 50ml,847,3652.64
21020001207,B.Braun Actreen Fle Glys Set Nelaton 6-16 (30-Pack) Cath,252,51705.78
21020000969,LoFric Hydro Nelaton Male NonPVC 8-18(20-Pack)Cath Wellspect,214,47299.08
21200000041,Activa Leg Ulcer Hose Kit Med Clsd Toe Compress Liner Pack,1000,25489.8
23800708002,Dansac_Soft Paste,421,4086.68
23803378006,Respond_Guard Barrier Crm Sach 2g,64,758.03
21210000019,BioXtra Dry Mth Mild Toothpaste 50ml (App),697,2629.07
21020000292,Conveen EasiCath Nelaton Fle Size 8-16 (25-Pack) Cath,402,67362.01
21280000102,Peristeen Rectal Cath (10-Pack),906,202411.77
21020000291,Conveen EasiCath Tiemann Tip Size 12-16 (25-Pack) Cath,33,5488.52
23801008020,Coloplast_Comfeel Barrier Crm,432,4044.12
23100101004,Hollister_Medical Adh A/Spy 112ml,164,5740.0
20100000551,Unspecified Surg Adh Tape 1.25cm x 5m Perm Non-Wov Syn,112,45.9
21140000010,Cathejell Mono Lubricant Gel 8.5g,481,1280.02
1502010I0BCABAC,Xylocaine_P/Spy 10mg/Dose 50ml,150,1264.29
21300000189,Sai-Meds Hypromellose 0.3% Eye Dps 10ml,146,159.39
21020001405,CliniMed Curan Lady Nelaton Fle Size 8-14 (30-Pack) Cath,463,73410.62
21020001007,Hollister Advance Plus Nelaton 6-18 (25-Pack) Cath,145,47229.6
0704050B0BCAGBL,Viridal Duo_S/Pack Inj 20mcg Cart,94,3852.78
21020001172,Rochester HydroSil Rose Fle Size 10-18 (30-Pack) Cath,128,19358.08
21140000019,Hydro-Caine Syrg Lubricant Gel 6ml,596,2008.16
20030500025,Octenilin Wound Gel 20ml Wound Dress H/Gel Ster,117,2370.88
21020001371,OptiSmooth Mitro XL 40cm 10-14 (60-Pack) Cath,49,11366.4
21020001343,Teleflex Liquick Base Tiemann Tip 12-16 (60-Pack) Cath,132,19388.25
21200000121,Altipress M/M Compress Liner Pack,59,3132.16
20031200020,Novogel 7.5cm Diam Wound Dress H/Gel Sheet,12,519.76
040701000BBAJAB,4Head_Top Headache Relief Stick,26,207.2
1307000M0BQAFBS,Scholl_Corn Removal W/R Plastr 40%,43,174.02
21020001306,Bullen Hi-Slip Hydro Nelaton Fle 8-16 (30-Pack) Cath,38,3677.1
21020001085,Great Bear Cubcath Male 10-16 (30-Pack) Cath,8,789.45
21020001156,Hollister VaPro Hydrophilic Fle Size 8-14 (30-Pack) Cath,102,19891.2
23800108011,Hollister_Karaya Pdr,38,467.36
21020001510,CliniMed Curan Advantage Nelaton Male Size10-16(30-Pack)Cath,65,5556.81
20090000479,Comfifast 5cm x 1m (Green) Stkntte Elasctd Viscose Tublr,39,63.22
1003020Y0BDAAAB,Deep Freeze_Spy 200ml/135g,5,31.75
0604011L0BCABAC,Cyclo-Progynova_C/Pk Tab 2mg,48,510.04
21200000110,Altipress Regular Sml Compress Liner Pack,42,812.82
20090000332,Comfigrip 6.75cm x 0.5m Stkntte Elasctd Tublr Band,8,9.75
22801978004,GF_Safehold G Straps Longer Life,6,15.68
20100000567,Chemipore 5cm x 5m Surg Adh Tape Perm Non-Wov Syn,37,123.5
20100000541,Scanpor 1.25cm x 5m Surg Adh Tape Perm Non-Wov Syn,46,41.28
1311070S0BDABAA,BioBag_300 Dress Kit 6cm x 12cm,8,3832.27
20031400050,Pro-Sil Gel 17g Wound Dress Slc,8,120.0
20031400057,SilDerm Dual Action Scar Gel 15g Wound Dress Slc,17,326.7
21020001492,Hunter Aloe Meatal Plus Size 10-18 (30-Pack) Cath,19,1023.75
1202020P0BBAJAC,Otrivine_Allgy Relief Nsl Spy 0.1% 10ml,7,18.34
0902021S0BCABAX,Polyfusor S_Sod Chlor 0.9% 1L Btl,4,233.35
21300000162,Hypromol Hypromellose Eye Dps 10ml P/F,47,295.75
20100000722,OpSite Flexifix Gentle 5cm x 5m Surg Adh Tape Soft Slc Fix,13,417.27
21020000323,Smooth Male Nelaton Size 8-14 (30-Pack) Cath,5,551.04
1202020P0BBAKAC,Otrivine_Congestion ReliefNslSpy0.1%10ml,10,30.5
21190000006,Episil Oral Spy 10ml,17,1082.62
21020000289,Pennine Male Pre-Lube Nelaton+IntegBag Size8-16(10-Pack)Cath,1,11.52
21020001400,WyCath H2O Nelaton Tapered Tip Paed 30cm 6-10 (30-Pack) Cath,6,609.0
20100000726,Primafix 10cm x 10m Surg Adh Tape Perm Non-Wov Syn,2,4.84
20090000769,Eesiban ESTS 7.5cm x 0.5m Stkntte Elasctd Tublr Band,1,9.5
20030300030,ManukaDress-T 15g Wound Dress H/Base Top Applic,7,25.65
21020001384,WyCath Uncoated Nelaton Paed 5 (30-Pack) Cath,3,132.0
1501041T0AAARAR,Midazolam HCl_Inj 2mg/ml 50ml Vl,1,49.8
1501020R0BBACA0,Nitrous Ox_Cylinder Size F 3600L,3,303.78
21020001283,M.Sauer iQ Nelaton Integ Gel Sach Male 10-18 (30-Pack) Cath,2,426.96
090402000BBUVA0,Vitasavoury_S/Pack Pdr,1,64.28
23804708007,Smith & Nephew_Proshield Plus Skin Prote 115g,41716,536024.44
23154101505,Salts_Adh Remover Sach Wipe,347,5038.4
21020001225,B.Braun Actreen Hi-Lite Male Nelaton 8-16 (30-Pack) Cath,390,57262.1
21230000105,ReplensMD Vag Moist 35g Tube,7674,61139.34
190700000BBCJA0,Resource_ThickenUp Clr Pdr,18710,854096.22
21300000176,Evolve Hypromellose 0.3% Eye Dps 10ml P/F,3970,10466.28
20100000533,Micropore 5cm x 5m Surg Adh Tape Perm Non-Wov Syn,1379,6666.0
23156501500,Trio_Elite Sting Free Adh Remover Spy 50ml,1887,29825.54
21300000130,Sod Chlor 5% Eye Dps 10ml,1649,53883.5
21020001339,B.Braun Actreen Mini Set Fle Size 10-14 (30-Pack) Cath,766,150900.04
21220000136,Epaderm Junior Oint 125g,161,1189.65
090402000BBZVA0,Ensure Plus Commence_Liq (2000 (10x200)),482,15240.3
23804708006,Smith & Nephew_Proshield Foam & Spy Skin Cleanser 235ml,18489,148387.89
23800908004,CliniMed_LBF Ster No Sting Barrier Film Wipes,6328,284857.8
21020001254,LoFric Sense Nelaton Fle 15cm 8-14 (30-Pack) Cath Wellspect,2726,550377.45
21300000102,Vismed Multi Sod Hyaluronate Eye Dps P/F 10ml,321,3112.11
21020001385,WyCath Uncoated Nelaton + Soft Tip Male 10-16 (30-Pack) Cath,28,5481.0
21020000881,Coloplast SpeediCath Fle Size 10-14 (30-Pack) Cath,2055,396019.66
20100000570,Mefix 2.5cm x 5m Surg Adh Tape Perm Non-Wov Syn,423,827.84
21220000300,Epimax Oatmeal Crm 100g,802,2914.37
21300000310,PF Drops Sod Hyaluronate 0.15% Eye Dps 10ml P/F,704,5619.96
1310020A0AAAAAA,Amorolfine HCl_Nail Lacquer Kit 5% 5ml,11187,106508.41
23150901506,CliniMed_Appeel Advance No Sting Medic Adh Remover A/Spy50ml,1943,58185.6
21020001387,WyCath Uncoated Nelaton + Soft Tip Paed 8-10 (30-Pack) Cath,25,4437.0
1310040V0BBAAAA,Hedrin_Lot 4%,136,1025.76
21130000125,Uro-Tainer PHMB 100ml Cath Maint Soln,228,8750.34
21020001311,Bullen Hi-Slip Plus Hydro Nelaton Fle 8-16 (30-Pack) Cath,107,10860.08
21020001169,Rochester HydroSil Slc Personal Fle Size 10-18 (30-Pack)Cath,132,23509.5
0106050B0BEAAA0,Moviprep_Oral Pdr Sach,250,4568.76
130202000BBBAA0,Derma Shield_Skin Prote Mousse 50ml,7,65.79
20090000219,Tubigrip 10cm x 0.5m Stkntte Elasctd Tublr Band,110,347.67
23803368005,Opus_LaVera Barrier Crm 100g,74,1125.72
21012500116,Alissa Sod Bicarb Ear Dps 5% Ear Wax Softening Med Dev 10ml,817,1153.75
21020001478,B.Braun Actreen Hi-Lite Set Nelaton 10-18 (30-Pack) Cath,75,17327.31
21140000017,OptiLube Active Ster Syrg Lubricant Gel 6ml,790,3457.65
21012500120,Sai-Meds Sod Bicarb Ear Dps 5% Ear Wax Softening MedDev 10ml,270,376.38
21020000836,LoFric Dila-Cath Dilatation (Non-PVC) 16-18 (30-Pack) Cath,64,2974.9
21360000103,Appeel Dress Remover Ster Spy 100ml,290,8068.5
0107020J0BHAAAJ,Perinal_P/Spy 30ml,60,415.48
20090000710,Eesiban 5cm x 5m Stkntte Ribbed Tublr,23,173.4
21020001494,Teleflex Liquick X-treme Male 40cm 12-16 (30-Pack) Cath,175,20380.0
21020001248,Lofric Primo Nelaton Tiemann Non-PVC 10-18 (30-Pack) Cath,75,12350.68
21020000876,Coloplast SpeediCath Male Size 8 (30-Pack) Cath,29,4820.55
21020001511,CliniMed Curan Advantage Nelaton Fle Size 8-14 (30-Pack)Cath,7,1458.17
21200000109,Altipress Short Ex Exlge Compress Liner Pack,7,153.14
23803458009,Pelican_Platinum + Vit E Barrier Crm 60g,62,628.75
21470100011,Emtrix Fungal Nail Tt 15ml,44,510.0
20150000003,LiquiBand 0.5g Amp Skin Adh Ster,44,390.5
21020000864,Coloplast Self-Cath Male Coude Taper Tip 12-14 (30),15,3858.36
20090000221,Tubigrip 12cm x 0.5m Stkntte Elasctd Tublr Band,98,385.0
21300000210,VIZcellose 0.5% Carmellose Eye Dps 10ml P/F,51,195.84
21020001344,Teleflex Mobile SL Male 10-16 (60-Pack) Cath,26,6204.24
23803458007,Pelican_Cohesive Paste 60g,194,5745.9
20030500115,Askina Gel 15g Wound Dress H/Gel Ster,1,6.18
23150901507,CliniMed_CliniPeel No Sting Medical Adh Remover A/Spy 50ml,137,2579.5
21020001469,Qufora Twostep Hydro Fle 10-14 (30-Pack) Cath,1,104.32
21020001212,B.Braun Actreen Male Glys Luer Lock Nelaton 8-16OliveTip(10),5,764.0
21200000114,Altipress Regular Ex Exlge Compress Liner Pack,19,447.64
21020000841,Bard Interglide Ctd Intermit Fle Nelaton  8-18 Cath,21,3826.16
21200000005,Jobst UlcerCARE Sml Compress Liner,47,1076.35
20100000602,Omnifix 10cm x 10m Surg Adh Tape Perm Non-Wov Syn,15,117.04
21020001335,B.Braun Actreen Fle/Paed 20cm Lite Nelaton 6-16(30-Pack)Cath,35,6746.4
21200000168,Jobst FarrowHybrid AD11 Compress Liner Pack,48,1824.0
1311070S0BDAAAA,BioBag_400 Dress Kit 10cm x 10cm,12,4422.46
21200000108,Altipress Short Exlge Compress Liner Pack,9,188.48
21220000260,MyriBase Gel 100g,100,648.72
21020001309,Bullen Hi-Slip Hydro Nelaton Tiemann 10-20 (30-Pack) Cath,2,69.38
20031400025,Ciltech Gel 15g Wound Dress Slc,1,70.0
0107020J0BJAAAJ,Germoloids HC_P/Spy 30ml,8,50.13
20090000338,Comfigrip 10cm x 0.5m Stkntte Elasctd Tublr Band,5,17.02
20100000561,Leukopor 1.25cm x 5m Surg Adh Tape Perm Non-Wov Syn,22,13.77
20090000336,Comfigrip 8.75cm x 0.5m Stkntte Elasctd Tublr Band,5,5.92
21020001293,Peak UltraSmooth Hydrophilic Dilatation Male 12-18 (25) Cath,2,102.54
1501043A0AAAEAE,Alfentanil HCl_Nsl Spy 0.1%,1,236.94
1003020M0AAABAB,Felbinac_Foam Aero 3.17% 100g,1,8.41
20030300033,Revamil Wound Gel 18g Wound Dress H/Base Top Applic,1,3.48
21020001468,Qufora Twostep Hydro Male 12-16 (30-Pack) Cath,3,78.24
21020001347,Teleflex Mobile SL Tiemann Tip 12-16 (60-Pack) Cath,1,172.34
1203030B0BQACAI,Ultra Chloraseptic_P/Spy 15ml (B/Crrt),1,6.42
21200000046,Activa Leg Ulcer Hose Kit Med O/T Compress Liner Pack,251,6176.1
120101050BCAAAB,Otomize_Ear Spy 5ml,112613,398207.52
21012500101,Care Olive Oil Ear Dps Ear Wax Softening Medical Dev 10ml,9470,15076.14
21300000122,Medicom Carmellose 0.5% Eye Dps 10ml,627,6119.33
23453374519,Respond_Neutralise Clean Fresh Mint Dps 50ml,471,3546.65
21020001479,B.Braun Actreen Hi-Lite Set Tiemann Tip 10-18 (30-Pack) Cath,60,13126.75
0410020C0AAACAC,Varenicline Tart_2Wk Init(Tab 0.5mg/1mg),6661,191127.3
21210000024,Saliveze Mth Spy 50ml (App),2778,12992.0
1307000M0BFAAAP,Verrugon_Complete,455,2655.12
23803368004,Opus_SkinSafe Non Sting Prote Film A/Spy 50ml,163,2130.99
21240000161,Sterimar Hypertonic Nsl Spy 50ml,2831,11716.06
21020000872,Coloplast Self-Cath Nelaton Fle Size 10-14 (30-Pack),140,23054.13
21020000290,Conveen EasiCath Nelaton Male Size 8-22 (25-Pack) Cath,546,83923.3
21020000838,LoFric Primo Nelaton Fle Non-PVC 20cm 8-18(30)Cath Wellspect,322,63245.0
23804808007,ConvaTec_Orahesive Pdr,2347,9044.53
23150701503,Dansac_Non Sting Adh Remover A/Spy 50ml,2134,61678.32
20100000572,Mefix 10cm x 5m Surg Adh Tape Perm Non-Wov Syn,1601,8243.6
21300000314,VIZhyal 0.4% Sod Hyaluronate Eye Dps 10ml P/F,16,83.8
21020001410,LoFric Origo+Water Nelaton Tiemann 40cm 10-18 (30-Pack) Cath,267,44402.84
21300000311,PF Drops Sod Hyaluronate 0.4% Eye Dps 10ml P/F,147,1279.17
21300000303,Optho-Lique 0.5% Carmellose Eye Dps 10ml,588,2976.54
21020000879,Coloplast SpeediCath Fle Size 16 (30-Pack) Cath,191,23735.47
21300000709,HydraMed night Paraf Eye Oint P/F 5g,504,1538.16
21020001165,Rochester HydroSil Slc Personal Male Size 10-18(30-Pack)Cath,101,16468.47
20030500110,Iodosorb Pdr Sach 3g Wound Dress H/Gel Ster,89,1368.0
21400000100,Prontoderm Foam 200ml,118,535.05
23801008024,Coloplast_Derma-Gard Skin Wipes,119,2888.04
21020000826,Hollister InstantCath Fle Size 10-14 (25-Pack) Cath,44,5121.13
20090000459,Unspecified Stkntte 10cm x 0.5m  Elasctd Tublr Band,122,162.59
21220000120,GlucoRx Allpresan Diabetic Foam Crm Basic 125ml,435,2827.0
0107020J0AAAJAJ,Hydrocort/Lido HCl_Spy 0.2%/1% 30ml,68,470.47
21020001115,Teleflex MobiStom + Gel Male 40cm 14-18 (60-Pack) Cath,19,5533.5
20032900001,Granulox Spy 12ml Topical Haemoglobin,36,4625.0
21020001086,Great Bear Cubcath Fle 8-14 (30-Pack) Cath,13,3074.7
21300000706,Evolve Carbomer 980 Eye Gel 10g,196,618.8
21220000280,Hydromol Intensive Crm 10% 30g (App),355,912.45
23803458010,Pelican_Platinum + Vit E Barrier Film Spy 50ml,54,930.6
